id,total,m20vref,m20v,massref,mass
1509,81,M20V00906,FA-2,MASS01088,P/BA-1/BA-4CLOOS
1510,319,M20V00297,FA-1,MASS00561,BA-5/BA-8SSP
1511,74,M20V01224,FA-2,MASS01291,BA-2
1512,105,M20V01797,FA-2,MASS01280,P/BA-3/BA-4St
1513,80,M20V00643,FA-1,MASS00883,BA-5/BA-8SSP
1514,968,M20V00813,FA-1,MASS01006,BA-5/BA-8SSPSSW
1515,514,M20V00062,FA-1,MASS00302,BA-5/BA-7
1516,77,M20V01412,FA-1,MASS00982,BA-5
1517,50,M20V01335,FA-1,MASS01361,BA-1/BA-5/BA-8SSW
1518,22,M20V00578,FA-1,MASS00828,BA-2
1519,92,M20V01967,FA-2,MASS01793,BA-3/BA-4Panas
1520,24,M20V00922,FA-2,MASS01088,P/BA-1/BA-4CLOOS
1521,8,M20V01138,FA-2,MASS01224,P/BA-3/BA-4St
1522,32,M20V00906,FA-2,MASS01088,P/BA-1/BA-4CLOOS
1523,163,M20V00866,FA-2,MASS01039,BA-4St/P/BA-1
1524,1,M20V01649,FA-1,MASS01010,BA-5/BA-8Es
1525,288,M20V00866,FA-2,MASS01039,BA-4St/P/BA-1
1526,221,M20V00010,FA-2,MASS00238,BA-1/BA-4Panas
1527,102,M20V01412,FA-1,MASS00982,BA-5
1528,81,M20V01611,FA-1,MASS01536,BA-7
1529,80,M20V01224,FA-2,MASS01291,BA-2
1530,77,M20V01221,FA-2,MASS01288,P/BA-2
1531,166,M20V01267,FA-3,MASS01323,P/BA-3
1532,39,M20V00906,FA-2,MASS01088,P/BA-1/BA-4CLOOS
1533,90,M20V01385,FA-1,MASS01009,BA-7
1534,54,M20V01281,FA-3,MASS01332,P/BA-3/BA-4Panas
1535,39,M20V01224,FA-2,MASS01291,BA-2
1536,72,M20V01386,FA-2,MASS01395,P/BA-3
1537,201,M20V00600,FA-2,MASS00849,P/BA-1/BA-4ABB
1538,86,M20V01611,FA-1,MASS01536,BA-7
1539,14,M20V01211,FA-2,MASS01277,P/BA-1/BA-4ZPanas
1540,249,M20V01129,FA-3,MASS01218,BA-3/BA-4Panas
1541,60,M20V00029,FA-2,MASS00256,BA-2Z
1542,48,M20V00017,FA-2,MASS00250,BA-2Z
1543,39,M20V00013,FA-2,MASS00245,BA-2Z
1544,32,M20V00015,FA-2,MASS00247,BA-2Z
